L,S
16,0.500000
therm_cycles,mc_cycles,n_bins
10000,10000,8 
cpu_time,n_threads
8.630000,4
n_betas,n_k,x,y,kinetic
12,0,0,0,.
beta,n,n2,n_std,E,E_std,Ov,Ov_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,S_mean,S_std
0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.500000,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.500000,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.500000,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.500000,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.500000,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.500000,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.500000,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.500000,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
128.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.500000,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.500000,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
512.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.500000,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1024.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.500000,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
